id,name,area,address,lat,lng,phone,open_time,close_time,break_time,closed_days,takeout,delivery,alone,group_available,seats,review_count,source,last_checked,memo,active
C002,달인의찜닭,정문,경남 창원시 의창구 퇴촌로 43,35.2423,128.6898,055-285-3070,10:30:00,21:00:00,,일요일,false,false,false,true,70,146,네이버지도,2026-06-16T00:00:00,,true
C003,엄마손,정문,경남 창원시 의창구 퇴촌로 39,35.2422,128.6895,X,X,X,X,X,false,false,true,true,35,176,네이버지도,2026-06-16T00:00:00,,true
C004,한솥도시락,정문,경남 창원시 의창구 퇴촌로 37,35.2421,128.6893,055-980-5519,08:15:00,20:30:00,X,X,true,true,true,true,15,561,네이버지도,2026-06-16T00:00:00,,true
C005,경대컵밥,정문,경남 창원시 의창구 사림동 53-6,35.2422,128.689,055-275-3353,10:00:00,19:30:00,X,X,true,true,true,true,25,37,기타,2026-06-16T00:00:00,,true
C006,쇼부라멘,정문,경남 창원시 의창구 퇴촌로25번길 6-20 1층,35.2422,128.689,055-267-0604,09:00:00,16:00:00,X,X,false,false,true,true,12,6,카카오맵,2026-06-16T00:00:00,,true
C007,봉구스 밥버거,정문,경남 창원시 의창구 퇴촌로 37,35.2421,128.6893,055-281-9631,10:20:00,20:00:00,X,일요일,true,true,true,true,8,94,네이버지도,2026-06-17T00:00:00,,true
C008,미스사이공,정문,경남 창원시 의창구 퇴촌로25번길 6-24 1층,35.2423,128.6893,055-262-5590,09:00:00,19:00:00,X,X,true,false,true,true,20,516,네이버지도,2026-06-18T00:00:00,,true
C009,맘스터치,정문,경남 창원시 의창구 퇴촌로25번길 6-21,35.2425,128.6891,055-286-3231,X,X,X,X,true,true,true,true,30,524,네이버지도,2026-06-19T00:00:00,,true
C010,따뜻한밥상,정문,경남 창원시 의창구 퇴촌로25번길 6-15 따뜻한밥상,35.2425,128.6888,X,10:30:00,20:00:00,14:30-17:00,"토요일,일요일",false,false,true,true,30,107,네이버지도,2026-06-20T00:00:00,,true
C011,소소소국수집,정문,경남 창원시 의창구 퇴촌로25번길 6-5,35.2422,128.6883,055-261-5233,X,X,X,X,false,false,true,true,40,65,네이버지도,2026-06-21T00:00:00,,true
C012,김밥천국,정문,경남 창원시 의창구 퇴촌로25번길 2,35.2422,128.6883,055-274-2588,08:00:00,22:00:00,15:00-17:00,X,true,false,true,true,20,110,네이버지도,2026-06-22T00:00:00,,true
C013,쌈마이 닭쌈밥,정문,경남 창원시 의창구 퇴촌로9번길 6-20 101호,35.2419,128.6876,0507-1316-9003,10:00:00,20:00:00,X,일요일,true,true,true,true,20,244,네이버지도,2026-06-23T00:00:00,,true
C014,창대 비빔밥 뷔페,정문,경남 창원시 의창구 퇴촌로 19 지하,35.2418,128.6875,0507-1327-9883,11:00:00,14:00:00,X,"토요일,일요일",false,false,true,true,40,85,네이버지도,2026-06-24T00:00:00,,true
C015,알촌,정문,경남 창원시 의창구 퇴촌로 27 1층,35.2418,128.6883,055-282-6363,09:40:00,20:30:00,X,토요일,true,true,true,true,20,427,네이버지도,2026-06-25T00:00:00,,true
C016,롯데리아,정문,경남 창원시 의창구 퇴촌로 31-1,35.242,128.6887,X,10:00:00,20:00:00,X,X,true,true,true,true,35,1200,네이버지도,2026-06-26T00:00:00,,true
C017,이삭토스트,정문,경남 창원시 의창구 용지로 327,35.2416,128.6907,055-261-1676,11:00:00,21:10:00,X,일요일,true,true,true,true,10,310,네이버지도,2026-06-27T00:00:00,,true
C018,뼈따구,정문,경남 창원시 의창구 용지로 327,35.2416,128.6907,X,10:00:00,21:00:00,X,X,true,false,true,true,50,0,지인 제보,2026-06-28T00:00:00,,true
C019,밀밭이야기,정문,경남 창원시 의창구 용지로 323,35.2414,128.6908,055-267-5670,X,X,X,X,false,false,true,true,30,0,지인 제보,2026-06-29T00:00:00,,true
C020,김밥일번지,정문,경남 창원시 의창구 용지로 319-2 지하1층,35.2412,128.6907,055-263-7772,09:00:00,20:00:00,X,일요일,true,false,true,true,50,874,네이버지도,2026-06-30T00:00:00,,true
C021,팔팔마라탕,정문,경남 창원시 의창구 퇴촌로 41 1층,35.2422,128.6897,055-261-6680,10:50:00,21:30:00,X,X,true,true,true,true,20,299,네이버지도,2026-07-01T00:00:00,,true
C022,차곡히,정문,경남 창원시 의창구 퇴촌로25번길 7 1층,35.2424,128.6878,0507-1345-5163,11:00:00,21:00:00,X,"토요일,일요일",false,false,true,true,20,284,네이버지도,2026-07-02T00:00:00,,true
C023,레빗테이블,정문,경남 창원시 의창구 퇴촌로25번길 7 1층 래빗테이블,35.2424,128.6877,0507-1308-0531,11:00:00,21:00:00,X,토요일,false,false,true,true,25,168,네이버지도,2026-07-03T00:00:00,,true
C024,고가밀면,정문,경남 창원시 의창구 사림로137번길 1,35.2431,128.6857,X,10:50:00,15:30:00,X,"2,4번째 일요일",false,false,true,true,40,240,네이버지도,2026-07-04T00:00:00,,true
C025,가야밀면,정문,경남 창원시 의창구 창이대로483번길 29-24,35.2412,128.6887,055-262-2008,11:00:00,19:00:00,X,X,false,false,true,true,20,18,네이버지도,2026-07-05T00:00:00,,true
C026,유가네 닭갈비,정문,경남 창원시 의창구 용지로293번길 28 우영프라자 1층 115호,35.2409,128.6881,055-273-8250,11:00:00,22:00:00,X,X,true,true,true,true,40,610,네이버지도,2026-07-06T00:00:00,,true
C027,호호돼지국밥,정문,경남 창원시 의창구 용지로 281,35.2383,128.6891,055-263-3889,10:30:00,21:00:00,15:00-16:00,일요일,false,false,true,true,60,603,네이버지도,2026-07-07T00:00:00,,true
C028,장독짜장,정문,경남 창원시 의창구 창이대로469번길 19,35.2404,128.6878,055-288-1536,10:30:00,20:20:00,X,X,true,true,true,true,80,503,네이버지도,2026-07-08T00:00:00,,true
C029,돌솥밥수,정문,경남 창원시 의창구 용지로293번길 21 반지하층 돌솥밥수,35.2403,128.688,055-261-2905,11:00:00,20:30:00,15:00-17:00,X,false,false,true,true,80,293,네이버지도,2026-07-09T00:00:00,,true
