id,restaurant_id,restaurant_name,name,category,price,spicy,salty,sweet,portion,value,speed,signature,available,tags,source,last_checked,recommend_note
M001,C001,리코리코,닭고기 부리또,햄버거,5000,2,3,3,4,5,4,true,true,"[""가성비"",""혼밥"",""빠른식사"",""든든함"",""포장"",""배달"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,
M002,C001,리코리코,소고기 부리또,햄버거,5800,2,3,3,4,5,4,true,true,"[""가성비"",""혼밥"",""빠른식사"",""든든함"",""포장"",""배달"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,
M003,C001,리코리코,섞어 부리또,햄버거,5000,2,3,3,4,5,4,true,true,"[""가성비"",""혼밥"",""빠른식사"",""든든함"",""포장"",""배달"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,
M004,C001,리코리코,치킨텐더 부리또,햄버거,6500,2,3,3,3,5,4,true,true,"[""가성비"",""혼밥"",""빠른식사"",""든든함"",""포장"",""배달"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,
M005,C001,리코리코,제육 부리또,햄버거,6000,2,3,3,4,5,4,true,true,"[""가성비"",""혼밥"",""빠른식사"",""든든함"",""포장"",""배달"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,
M006,C002,달인의찜닭,달인 순살 찜닭,찜/탕,23000,3,3,3,4,3,2,true,true,"[""단체"",""데이트"",""든든함"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,
M007,C002,달인의찜닭,달인 치즈순살 찜닭,찜/탕,26000,3,3,3,4,3,2,true,true,"[""단체"",""데이트"",""든든함"",""시험기간""]",메뉴판 사진,2026-06-17T00:00:00,
M008,C003,엄마손,두루치기,한식,11000,2,2,4,3,3,3,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게""]",메뉴판 사진,2026-06-17T00:00:00,
M009,C003,엄마손,된장찌개,한식,6000,1,3,2,2,4,3,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게""]",메뉴판 사진,2026-06-17T00:00:00,
M010,C003,엄마손,김치찌개,한식,6000,1,3,2,2,4,3,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게""]",메뉴판 사진,2026-06-17T00:00:00,
M011,C003,엄마손,순두부찌개,한식,6500,2,3,2,2,4,3,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게""]",메뉴판 사진,2026-06-17T00:00:00,
M012,C003,엄마손,뚝배기불고기,한식,8000,0,2,4,4,3,3,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게""]",메뉴판 사진,2026-06-17T00:00:00,
M013,C003,엄마손,돌솥비빔밥,한식,6500,0,2,3,2,4,3,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게""]",메뉴판 사진,2026-06-17T00:00:00,
M014,C003,엄마손,육개장,한식,7000,3,3,2,3,4,3,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""해장""]",메뉴판 사진,2026-06-17T00:00:00,
M015,C004,한솥도시락,빅치킨마요,도시락,4600,0,3,4,4,5,4,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""포장"",""배달"",""시험기간"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,
M016,C004,한솥도시락,제육 많이 덮밥,도시락,6500,1,3,3,4,5,4,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""포장"",""배달"",""시험기간"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,
M017,C004,한솥도시락,돈까스 도련님 고기고기,도시락,7300,0,2,2,5,4,4,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""포장"",""배달"",""시험기간"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,
M018,C004,한솥도시락,왕카레돈까스 덮밥,도시락,6700,0,3,3,3,5,4,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""포장"",""배달"",""시험기간"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,
M019,C005,경대컵밥,경대컵밥도시락,도시락,6400,1,3,3,2,4,3,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""포장"",""배달"",""시험기간"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,
M020,C005,경대컵밥,오리훈제컵밥도시락,도시락,7400,1,3,3,4,4,3,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""포장"",""배달"",""시험기간"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,
M021,C005,경대컵밥,제육컵밥도시락,도시락,7400,1,3,3,4,4,3,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""포장"",""배달"",""시험기간"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,
M022,C005,경대컵밥,치즈컵밥도시락,도시락,7400,1,3,3,2,4,3,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""포장"",""배달"",""시험기간"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,
M023,C006,쇼부라멘,소유라멘,일식/돈까스,5500,0,4,4,2,3,4,true,true,"[""혼밥"",""든든함"",""가볍게"",""시험기간"",""빠른식사"",""해장"",""데이트""]",메뉴판 사진,2026-06-17T00:00:00,
M024,C006,쇼부라멘,미소라멘,일식/돈까스,6000,0,3,4,2,3,4,true,true,"[""혼밥"",""든든함"",""가볍게"",""시험기간"",""빠른식사"",""해장"",""데이트""]",메뉴판 사진,2026-06-17T00:00:00,
M025,C006,쇼부라멘,돈코츠라멘,일식/돈까스,6500,0,3,4,2,3,4,true,true,"[""혼밥"",""든든함"",""가볍게"",""시험기간"",""빠른식사"",""해장"",""데이트""]",메뉴판 사진,2026-06-17T00:00:00,
M026,C006,쇼부라멘,탄탄멘,일식/돈까스,7000,2,3,3,2,3,4,true,true,"[""혼밥"",""든든함"",""가볍게"",""시험기간"",""빠른식사"",""해장"",""데이트""]",메뉴판 사진,2026-06-17T00:00:00,
M027,C007,봉구스 밥버거,봉구스,도시락,3500,0,3,4,1,5,4,true,true,"[""혼밥"",""가볍게"",""시험기간"",""빠른식사"",""포장"",""배달"",""가성비""]",메뉴판 사진,2026-06-17T00:00:00,
M028,C007,봉구스 밥버거,햄치즈,도시락,5100,0,3,4,2,4,4,true,true,"[""혼밥"",""가볍게"",""시험기간"",""빠른식사"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,
M029,C007,봉구스 밥버거,봉구킹,도시락,7300,0,3,4,3,3,4,true,true,"[""혼밥"",""가볍게"",""시험기간"",""빠른식사"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,
M030,C007,봉구스 밥버거,봉구퀸,도시락,7300,0,3,4,3,3,4,true,true,"[""혼밥"",""가볍게"",""시험기간"",""빠른식사"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,
M031,C008,미스사이공,소고기 쌀국수,아시안,6500,0,3,2,3,3,4,true,true,"[""혼밥"",""가볍게"",""시험기간"",""빠른식사"",""데이트""]",메뉴판 사진,2026-06-17T00:00:00,
M032,C008,미스사이공,닭고기 쌀국수,아시안,6500,0,3,2,3,3,4,true,true,"[""혼밥"",""가볍게"",""시험기간"",""빠른식사"",""데이트""]",메뉴판 사진,2026-06-17T00:00:00,
M033,C008,미스사이공,사이공 볶음밥,아시안,6500,0,3,2,3,3,4,true,true,"[""혼밥"",""가볍게"",""시험기간"",""빠른식사"",""데이트""]",메뉴판 사진,2026-06-17T00:00:00,
M034,C009,맘스터치,싸이버거 세트,햄버거,9000,1,3,3,5,2,3,true,true,"[""혼밥"",""시험기간"",""포장"",""배달"",""단체"",""든든함""]",메뉴판 사진,2026-06-17T00:00:00,
