menu_id,store_id,store_name,menu_name,category,tags,current_food_character,suggested_food_character,confidence,warning,review_status
M001,C001,리코리코,닭고기 부리또,햄버거,"[""가성비"",""혼밥"",""빠른식사"",""든든함"",""포장"",""배달"",""시험기간""]",,quick-snack,high,기존 tags 문자열 오분류 방지 확인: 부리또는 quick-snack 후보입니다.,needs-review
M002,C001,리코리코,소고기 부리또,햄버거,"[""가성비"",""혼밥"",""빠른식사"",""든든함"",""포장"",""배달"",""시험기간""]",,quick-snack,high,기존 tags 문자열 오분류 방지 확인: 부리또는 quick-snack 후보입니다.,needs-review
M003,C001,리코리코,섞어 부리또,햄버거,"[""가성비"",""혼밥"",""빠른식사"",""든든함"",""포장"",""배달"",""시험기간""]",,quick-snack,high,기존 tags 문자열 오분류 방지 확인: 부리또는 quick-snack 후보입니다.,needs-review
M004,C001,리코리코,치킨텐더 부리또,햄버거,"[""가성비"",""혼밥"",""빠른식사"",""든든함"",""포장"",""배달"",""시험기간""]",,quick-snack,high,기존 tags 문자열 오분류 방지 확인: 부리또는 quick-snack 후보입니다.,needs-review
M005,C001,리코리코,제육 부리또,햄버거,"[""가성비"",""혼밥"",""빠른식사"",""든든함"",""포장"",""배달"",""시험기간""]",,quick-snack,high,기존 tags 문자열 오분류 방지 확인: 부리또는 quick-snack 후보입니다.,needs-review
M006,C002,달인의 찜닭,달인 순살 찜닭,찜/탕,"[""단체"",""데이트"",""든든함"",""시험기간""]",,main-dish,high,,needs-review
M007,C002,달인의 찜닭,달인 치즈순살 찜닭,찜/탕,"[""단체"",""데이트"",""든든함"",""시험기간""]",,main-dish,high,,needs-review
M008,C003,엄마손,두루치기,한식,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게""]",,main-dish,high,,needs-review
M009,C003,엄마손,된장찌개,한식,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게""]",,hot-soup,high,,needs-review
M010,C003,엄마손,김치찌개,한식,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게""]",,hot-soup,high,,needs-review
M011,C003,엄마손,순두부찌개,한식,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게""]",,hot-soup,high,,needs-review
M012,C003,엄마손,뚝배기불고기,한식,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게""]",,main-dish,high,,needs-review
M013,C003,엄마손,돌솥비빔밥,한식,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게""]",,rice-meal,high,,needs-review
M014,C003,엄마손,육개장,한식,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""해장""]",,hot-soup,high,,needs-review
M015,C004,한솥도시락,빅치킨마요,도시락,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""포장"",""배달"",""시험기간"",""빠른식사""]",,rice-meal,low,메뉴명 규칙이 없어 category '도시락' 기준으로 제안했습니다.,needs-review
M016,C004,한솥도시락,제육 많이 덮밥,도시락,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""포장"",""배달"",""시험기간"",""빠른식사""]",,rice-meal,high,,needs-review
M017,C004,한솥도시락,돈까스 도련님 고기고기,도시락,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""포장"",""배달"",""시험기간"",""빠른식사""]",,main-dish,high,,needs-review
M018,C004,한솥도시락,왕카레돈까스 덮밥,도시락,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""포장"",""배달"",""시험기간"",""빠른식사""]",,rice-meal,medium,"복수 식사 형태 후보가 감지되었습니다: rice-meal, main-dish.",needs-review
M019,C005,경대컵밥,경대컵밥도시락,도시락,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""포장"",""배달"",""시험기간"",""빠른식사""]",,rice-meal,high,,needs-review
M020,C005,경대컵밥,오리훈제컵밥도시락,도시락,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""포장"",""배달"",""시험기간"",""빠른식사""]",,rice-meal,high,,needs-review
M021,C005,경대컵밥,제육컵밥도시락,도시락,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""포장"",""배달"",""시험기간"",""빠른식사""]",,rice-meal,high,,needs-review
M022,C005,경대컵밥,치즈컵밥도시락,도시락,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""포장"",""배달"",""시험기간"",""빠른식사""]",,rice-meal,high,,needs-review
M023,C006,쇼부라멘,소유라멘,일식/돈까스,"[""혼밥"",""든든함"",""가볍게"",""시험기간"",""빠른식사"",""해장"",""데이트""]",,noodle-special,high,,needs-review
M024,C006,쇼부라멘,미소라멘,일식/돈까스,"[""혼밥"",""든든함"",""가볍게"",""시험기간"",""빠른식사"",""해장"",""데이트""]",,noodle-special,high,,needs-review
M025,C006,쇼부라멘,돈코츠라멘,일식/돈까스,"[""혼밥"",""든든함"",""가볍게"",""시험기간"",""빠른식사"",""해장"",""데이트""]",,noodle-special,high,,needs-review
M026,C006,쇼부라멘,탄탄멘,일식/돈까스,"[""혼밥"",""든든함"",""가볍게"",""시험기간"",""빠른식사"",""해장"",""데이트""]",,noodle-special,high,,needs-review
M027,C007,봉구스밥버거,봉구스,도시락,"[""혼밥"",""가볍게"",""시험기간"",""빠른식사"",""포장"",""배달"",""가성비""]",,quick-snack,medium,가게명 문맥으로 밥버거 후보를 제안했습니다.,needs-review
M028,C007,봉구스밥버거,햄치즈,도시락,"[""혼밥"",""가볍게"",""시험기간"",""빠른식사"",""포장"",""배달""]",,quick-snack,medium,가게명 문맥으로 밥버거 후보를 제안했습니다.,needs-review
M029,C007,봉구스밥버거,봉구킹,도시락,"[""혼밥"",""가볍게"",""시험기간"",""빠른식사"",""포장"",""배달""]",,quick-snack,medium,가게명 문맥으로 밥버거 후보를 제안했습니다.,needs-review
M030,C007,봉구스밥버거,봉구퀸,도시락,"[""혼밥"",""가볍게"",""시험기간"",""빠른식사"",""포장"",""배달""]",,quick-snack,medium,가게명 문맥으로 밥버거 후보를 제안했습니다.,needs-review
M031,C008,미스사이공,소고기 쌀국수,아시안,"[""혼밥"",""가볍게"",""시험기간"",""빠른식사"",""데이트""]",,noodle-special,high,국물 유무와 관계없이 면 음식 확인: 쌀국수는 noodle-special 후보입니다.,needs-review
M032,C008,미스사이공,닭고기 쌀국수,아시안,"[""혼밥"",""가볍게"",""시험기간"",""빠른식사"",""데이트""]",,noodle-special,high,국물 유무와 관계없이 면 음식 확인: 쌀국수는 noodle-special 후보입니다.,needs-review
M033,C008,미스사이공,사이공 볶음밥,아시안,"[""혼밥"",""가볍게"",""시험기간"",""빠른식사"",""데이트""]",,rice-meal,high,,needs-review
M034,C009,맘스터치,싸이버거 세트,햄버거,"[""혼밥"",""시험기간"",""포장"",""배달"",""단체"",""든든함""]",,quick-snack,high,,needs-review
M035,C009,맘스터치,아라비아따치즈버거 세트,햄버거,"[""혼밥"",""시험기간"",""포장"",""배달"",""단체"",""든든함""]",,quick-snack,high,,needs-review
M036,C009,맘스터치,화이트갈릭싸이버거 세트,햄버거,"[""혼밥"",""시험기간"",""포장"",""배달"",""단체"",""든든함""]",,quick-snack,high,,needs-review
M037,C010,따뜻한밥상,김치찌개,한식,"[""혼밥"",""가볍게"",""시험기간"",""빠른식사"",""든든함"",""가성비"",""단체""]",,hot-soup,high,,needs-review
M038,C011,소소소국수집,잔치국수,분식,"[""혼밥"",""단체"",""시험기간"",""든든함"",""빠른식사"",""해장"",""비오는날""]",,noodle-special,high,,needs-review
M039,C011,소소소국수집,비빔국수,분식,"[""혼밥"",""단체"",""시험기간"",""든든함"",""빠른식사"",""해장"",""비오는날""]",,noodle-special,high,,needs-review
M040,C011,소소소국수집,열무국수,분식,"[""혼밥"",""단체"",""시험기간"",""든든함"",""빠른식사"",""해장"",""비오는날""]",,noodle-special,high,,needs-review
M041,C012,김밥천국,참치마요김밥,분식,"[""혼밥"",""시험기간"",""든든함"",""빠른식사"",""가성비"",""포장""]",,quick-snack,high,,needs-review
